31000001,J055520,K-C00334,K-R00033
31000002,J110145,K-C00334,K-R00033
31000003,J164710,K-C00334,K-R00033
31000004,J200727,K-C00334,K-R00033
31000005,Thera,G-C00324,G-R00031
31000006,J174618,K-C00334,K-R00033
31000007,J105443,A-C00311,A-R00001
31000008,J100744,A-C00311,A-R00001
31000009,J225046,A-C00311,A-R00001
31000010,J160837,A-C00311,A-R00001
31000011,J114700,A-C00311,A-R00001
31000012,J134914,A-C00311,A-R00001
31000013,J102655,A-C00312,A-R00001
31000014,J134312,A-C00312,A-R00001
31000015,J205818,A-C00312,A-R00001
31000016,J113434,A-C00312,A-R00001
31000017,J105711,A-C00312,A-R00001
31000018,J164218,A-C00312,A-R00001
31000019,J154535,A-C00312,A-R00001
31000020,J111301,A-C00312,A-R00001
31000021,J135038,A-C00312,A-R00001
31000022,J121358,A-C00312,A-R00001
31000023,J222914,A-C00312,A-R00001
31000024,J155429,A-C00312,A-R00001
31000025,J204640,A-C00313,A-R00001
31000026,J162604,A-C00313,A-R00001
31000027,J164807,A-C00313,A-R00001
31000028,J233317,A-C00313,A-R00001
31000029,J155023,A-C00313,A-R00001
31000030,J112628,A-C00313,A-R00001
31000031,J153001,A-C00313,A-R00001
31000032,J143204,A-C00313,A-R00001
31000033,J101729,A-C00313,A-R00001
31000034,J221203,A-C00313,A-R00001
31000035,J125428,A-C00314,A-R00001
31000036,J131854,A-C00314,A-R00001
31000037,J160534,A-C00314,A-R00001
31000038,J144855,A-C00314,A-R00001
31000039,J101453,A-C00314,A-R00001
31000040,J144913,A-C00314,A-R00001
31000041,J144530,A-C00314,A-R00001
31000042,J135411,A-C00314,A-R00001
31000043,J125713,A-C00314,A-R00001
31000044,J105521,A-C00314,A-R00001
31000045,J224324,A-C00315,A-R00001
31000046,J163203,A-C00315,A-R00001
31000047,J171818,A-C00315,A-R00001
31000048,J145337,A-C00315,A-R00001
31000049,J150131,A-C00315,A-R00001
31000050,J130842,A-C00315,A-R00001
31000051,J145406,A-C00315,A-R00001
31000052,J103404,A-C00315,A-R00001
31000053,J112124,A-C00315,A-R00001
31000054,J124926,A-C00316,A-R00001
31000055,J232605,A-C00316,A-R00001
31000056,J144938,A-C00316,A-R00001
31000057,J233828,A-C00316,A-R00001
31000058,J130714,A-C00316,A-R00001
31000059,J142701,A-C00316,A-R00001
31000060,J154226,A-C00316,A-R00001
31000061,J125843,A-C00316,A-R00001
31000062,J155459,A-C00316,A-R00001
31000063,J225555,A-C00317,A-R00001
31000064,J115549,A-C00317,A-R00001
31000065,J140741,A-C00317,A-R00001
31000066,J104140,A-C00317,A-R00001
31000067,J101757,A-C00317,A-R00001
31000068,J100250,A-C00317,A-R00001
31000069,J113721,A-C00317,A-R00001
31000070,J105039,A-C00317,A-R00001
31000071,J233550,A-C00317,A-R00001
31000072,J114033,A-C00318,A-R00001
31000073,J105936,A-C00318,A-R00001
31000074,J140121,A-C00318,A-R00001
31000075,J154029,A-C00318,A-R00001
31000076,J101336,A-C00318,A-R00001
31000077,J160039,A-C00318,A-R00001
